income,total_debt,payment_history,num_loans,default
45000,12000,1,2,0
30000,18000,0,3,1
52000,15000,1,2,0
28000,20000,0,4,1
60000,10000,1,1,0
35000,17000,0,3,1
48000,14000,1,2,0
26000,19000,0,4,1
70000,16000,1,2,0
32000,21000,0,5,1
55000,13000,1,2,0
29000,18500,0,3,1
62000,12000,1,1,0
27000,19500,0,4,1
58000,14000,1,2,0
31000,17500,0,3,1
65000,15000,1,2,0
34000,20000,0,4,1
72000,17000,1,3,0
36000,18000,0,3,1
50000,16000,1,2,0
33000,19000,0,4,1
68000,14000,1,2,0
29000,21000,0,5,1
54000,15000,1,2,0
35000,18500,0,3,1
61000,13000,1,1,0
28000,20000,0,4,1
69000,16000,1,2,0
32000,19500,0,4,1
56000,14500,1,2,0
30000,20500,0,4,1
64000,15000,1,2,0
36000,19000,0,3,1
71000,17000,1,3,0
34000,18500,0,3,1
59000,14000,1,2,0
27000,21500,0,5,1
67000,15500,1,2,0
31000,20000,0,4,1
53000,15000,1,2,0
35000,19500,0,4,1
62000,14500,1,2,0
28000,21000,0,5,1
70000,16000,1,2,0
33000,19000,0,3,1
58000,15000,1,2,0
29000,20500,0,4,1
66000,15500,1,2,0
36000,18500,0,3,1
69000,14000,1,2,0
